Week,EffectiveDemand_21A,SafetyStockTarget_22B,EffectiveDemand_22B,SafetyStockTarget_23C,EffectiveDemand_23C,AvailableCapacity_Total,AvailableCapacity_21A,AvailableCapacity_22B,AvailableCapacity_23C,Yield_21A,Yield_22B,Yield_23C
,,,,,,,,,,,,
,,,,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,,,,,,,
1.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,,,,,,,
2.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,,,,,,,
3.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
7.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10181.0,4890.0,4000.0,1291.0,0.9059,0.9085,0.9054
8.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11248.0,4830.0,4016.0,2402.0,0.9059,0.9084,0.9047
9.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12023.0,4230.0,4316.0,3477.0,0.9059,0.9085,0.9055
10.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12066.0,4373.0,4416.0,3277.0,0.9056,0.9082,0.9047
11.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,12066.0,4000.0,4545.0,3521.0,0.9059,0.9085,0.9045
12.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,11153.0,4000.0,4000.0,3153.0,0.9059,0.9085,0.9055
13.0,3920865476.2527657,283186617.3041231,1541047872.0,706503770.3388937,4705495605.907281,10503.0,4000.0,4000.0,2503.0,0.9059,0.9083,0.9051
1.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,,,,,,,
2.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,,,,,,,
3.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,11037.0,5155.0,4000.0,1882.0,0.9058,0.9084,0.9055
4.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10791.0,5258.0,4000.0,1533.0,0.9058,0.9085,0.9055
5.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10265.0,5182.0,4000.0,1083.0,0.9059,0.9085,0.9055
6.0,4857090504.084001,396739587.2068459,2358376697.6000004,947758578.0083736,6467992263.665929,10223.0,4840.0,4000.0,1383.0,0.9059,0.908,0.9052
